,Crash ID,Crash Total Injury Count,Fatal Crash Flag,Person Injury Severity,Person Not Injured Count,Person Total Injury Count,Contributing Factors,Crash Date,Crash Month,Crash Total Injury Count.1,Day of Week,Hour of Day,Intersecting Street Name,Number of Lanes,Road Class,Roadway Type,Speed Limit,ST_NAME,Surface Condition,Weather Condition,Charge,Citation,Person Age,Person Gender,geometry
261,18698934,0,0,99 - UNKNOWN,0,0,DISREGARD STOP SIGN OR LIGHT,44575,1,0,FRIDAY,19:00 - 19:59,UNKNOWN,No Data,CITY STREET,No Data,30,W HICKORY ST,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2377861.229004662 7127483.559252755)
262,18698934,0,0,N - NOT INJURED,1,0,DISREGARD STOP SIGN OR LIGHT,44575,1,0,FRIDAY,19:00 - 19:59,UNKNOWN,No Data,CITY STREET,No Data,30,W HICKORY ST,1 - DRY,1 - CLEAR,NO CHARGES,No Data,20,2 - FEMALE,POINT (2377861.229004662 7127483.559252755)
263,18698067,0,0,N - NOT INJURED,1,0,FATIGUED OR ASLEEP,44576,1,0,SATURDAY,03:00 - 03:59,SAGEBRUSH DR,No Data,CITY STREET,No Data,30,ASPEN DR,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,29,1 - MALE,POINT (2388873.2555964338 7140090.698619332)
264,18698068,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - YIELD SIGN,44576,1,0,SATURDAY,16:00 - 16:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",50,IH0035E,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,32,2 - FEMALE,POINT (2380438.9618565673 7123867.508536178)
265,18698068,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - YIELD SIGN,44576,1,0,SATURDAY,16:00 - 16:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",50,IH0035E,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,20,1 - MALE,POINT (2380438.9618565673 7123867.508536178)
266,18698072,0,0,N - NOT INJURED,1,0,OVERTAKE AND PASS INSUFFICIENT CLEARANCE,44576,1,0,SATURDAY,13:00 - 13:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,47,1 - MALE,POINT (2373780.5215603276 7133520.565380735)
267,18698072,0,0,N - NOT INJURED,1,0,OVERTAKE AND PASS INSUFFICIENT CLEARANCE,44576,1,0,SATURDAY,13:00 - 13:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,18,2 - FEMALE,POINT (2373780.5215603276 7133520.565380735)
268,18703526,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44576,1,0,SATURDAY,13:00 - 13:59,W CONGRESS ST,5,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",30,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,61,1 - MALE,POINT (2386521.349041585 7129244.890884131)
269,18703526,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44576,1,0,SATURDAY,13:00 - 13:59,W CONGRESS ST,5,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",30,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,2 - FEMALE,POINT (2386521.349041585 7129244.890884131)
270,18703526,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44576,1,0,SATURDAY,13:00 - 13:59,W CONGRESS ST,5,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",30,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,15,2 - FEMALE,POINT (2386521.349041585 7129244.890884131)
271,18703526,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44576,1,0,SATURDAY,13:00 - 13:59,W CONGRESS ST,5,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",30,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,13,1 - MALE,POINT (2386521.349041585 7129244.890884131)
272,18703526,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44576,1,0,SATURDAY,13:00 - 13:59,W CONGRESS ST,5,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",30,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,14,1 - MALE,POINT (2386521.349041585 7129244.890884131)
274,18711887,0,0,99 - UNKNOWN,0,0,HAD BEEN DRINKING,44576,1,0,SATURDAY,22:00 - 22:59,,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2383413.025113291 7138781.347028477)
275,18711992,0,0,99 - UNKNOWN,0,0,TURNED WHEN UNSAFE,44576,1,0,SATURDAY,11:00 - 11:59,LIGHTHOUSE DR,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,No Data,1 - MALE,POINT (2395394.436845593 7101809.051118224)
276,18711992,0,0,N - NOT INJURED,1,0,TURNED WHEN UNSAFE,44576,1,0,SATURDAY,11:00 - 11:59,LIGHTHOUSE DR,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,31,1 - MALE,POINT (2395394.436845593 7101809.051118224)
277,18711992,0,0,N - NOT INJURED,1,0,TURNED WHEN UNSAFE,44576,1,0,SATURDAY,11:00 - 11:59,LIGHTHOUSE DR,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,32,2 - FEMALE,POINT (2395394.436845593 7101809.051118224)
278,18711992,0,0,N - NOT INJURED,1,0,TURNED WHEN UNSAFE,44576,1,0,SATURDAY,11:00 - 11:59,LIGHTHOUSE DR,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,10,2 - FEMALE,POINT (2395394.436845593 7101809.051118224)
280,18711992,0,0,N - NOT INJURED,1,0,TURNED WHEN UNSAFE,44576,1,0,SATURDAY,11:00 - 11:59,LIGHTHOUSE DR,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,5,1 - MALE,POINT (2395394.436845593 7101809.051118224)
281,18699041,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION; FAILED TO CONTROL SPEED,44577,1,0,SUNDAY,20:00 - 20:59,FM0428,5,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",35,US0077,1 - DRY,1 - CLEAR,FAIL TO CONTROL SPEED,10439735,45,1 - MALE,POINT (2386540.2868395597 7133920.619176294)
282,18699041,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION; FAILED TO CONTROL SPEED,44577,1,0,SUNDAY,20:00 - 20:59,FM0428,5,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",35,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,81,2 - FEMALE,POINT (2386540.2868395597 7133920.619176294)
283,18699041,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION; FAILED TO CONTROL SPEED,44577,1,0,SUNDAY,20:00 - 20:59,FM0428,5,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",35,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,54,2 - FEMALE,POINT (2386540.2868395597 7133920.619176294)
284,18699399,1,0,C - POSSIBLE INJURY,0,1,DRIVER INATTENTION,44577,1,1,SUNDAY,10:00 - 10:59,,No Data,CITY STREET,No Data,30,IOOF ST,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,1 - MALE,POINT (2384376.124659184 7125330.15377224)
285,18704668,3,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44577,1,3,SUNDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",75,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,40,1 - MALE,POINT (2371716.761060311 7164585.000209074)
286,18704668,3,0,C - POSSIBLE INJURY,0,1,FAILED TO CONTROL SPEED,44577,1,3,SUNDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",75,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,49,1 - MALE,POINT (2371716.761060311 7164585.000209074)
287,18704668,3,0,C - POSSIBLE INJURY,0,1,FAILED TO CONTROL SPEED,44577,1,3,SUNDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",75,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,37,2 - FEMALE,POINT (2371716.761060311 7164585.000209074)
288,18704668,3,0,B - SUSPECTED MINOR INJURY,0,1,FAILED TO CONTROL SPEED,44577,1,3,SUNDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",75,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,31,1 - MALE,POINT (2371716.761060311 7164585.000209074)
289,18704668,3,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44577,1,3,SUNDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",75,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,32,2 - FEMALE,POINT (2371716.761060311 7164585.000209074)
290,18704668,3,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44577,1,3,SUNDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",75,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,5,2 - FEMALE,POINT (2371716.761060311 7164585.000209074)
291,18704668,3,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44577,1,3,SUNDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",75,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,7,2 - FEMALE,POINT (2371716.761060311 7164585.000209074)
292,18704670,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION; FATIGUED OR ASLEEP,44577,1,0,SUNDAY,19:00 - 19:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,POSSESSION OF A CONTROLLED SUBSTANCE PENALTY GROUP 1,,41,1 - MALE,POINT (2372468.926935298 7156306.393995643)
293,18704670,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION; FATIGUED OR ASLEEP,44577,1,0,SUNDAY,19:00 - 19:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,46,2 - FEMALE,POINT (2372468.926935298 7156306.393995643)
294,18704670,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION; FATIGUED OR ASLEEP,44577,1,0,SUNDAY,19:00 - 19:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,16,2 - FEMALE,POINT (2372468.926935298 7156306.393995643)
295,18704679,0,0,N - NOT INJURED,1,0,FAILED TO DRIVE IN SINGLE LANE; HAD BEEN DRINKING,44577,1,0,SUNDAY,18:00 - 18:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",55,IH0035,1 - DRY,1 - CLEAR,DRIVING WHILE INTOXICATED,22007152,52,2 - FEMALE,POINT (2371975.0082589095 7163009.398153006)
296,18704679,0,0,99 - UNKNOWN,0,0,FAILED TO DRIVE IN SINGLE LANE; HAD BEEN DRINKING,44577,1,0,SUNDAY,18:00 - 18:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",55,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2371975.0082589095 7163009.398153006)
297,18699043,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44578,1,0,MONDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,43,1 - MALE,POINT (2371638.4795042425 7165289.352277677)
298,18699043,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44578,1,0,MONDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,36,1 - MALE,POINT (2371638.4795042425 7165289.352277677)
299,18699043,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44578,1,0,MONDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,10,2 - FEMALE,POINT (2371638.4795042425 7165289.352277677)
300,18699043,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44578,1,0,MONDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,1,1 - MALE,POINT (2371638.4795042425 7165289.352277677)
301,18699043,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44578,1,0,MONDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,37,2 - FEMALE,POINT (2371638.4795042425 7165289.352277677)
302,18699997,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44578,1,0,MONDAY,13:00 - 13:59,IH0035,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",30,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,1 - MALE,POINT (2376767.1186764566 7132940.286638293)
303,18699997,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44578,1,0,MONDAY,13:00 - 13:59,IH0035,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",30,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,29,2 - FEMALE,POINT (2376767.1186764566 7132940.286638293)
304,18707563,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44578,1,0,MONDAY,17:00 - 17:59,OLD NORTH RD,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0377,1 - DRY,1 - CLEAR,FAIL TO YIELD ROW TURNING LEFT,22007518,22,1 - MALE,POINT (2396861.1323248968 7135176.789460842)
305,18707563,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44578,1,0,MONDAY,17:00 - 17:59,OLD NORTH RD,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,1 - MALE,POINT (2396861.1323248968 7135176.789460842)
306,18707563,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44578,1,0,MONDAY,17:00 - 17:59,OLD NORTH RD,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,53,1 - MALE,POINT (2396861.1323248968 7135176.789460842)
307,18701720,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,10:00 - 10:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",50,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,69,1 - MALE,POINT (2401754.055529421 7134803.560309836)
308,18701720,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,10:00 - 10:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",50,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,67,2 - FEMALE,POINT (2401754.055529421 7134803.560309836)
309,18701720,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,10:00 - 10:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",50,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,27,2 - FEMALE,POINT (2401754.055529421 7134803.560309836)
310,18702041,0,0,N - NOT INJURED,1,0,NONE,44579,1,0,TUESDAY,13:00 - 13:59,,No Data,CITY STREET,No Data,30,N TRINITY RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,58,1 - MALE,POINT (2409208.6595546803 7127974.04851542)
311,18702100,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,14:00 - 14:59,HICKORY CREEK RD,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,35,2 - FEMALE,POINT (2395351.2380832317 7103049.808216437)
312,18702100,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,14:00 - 14:59,HICKORY CREEK RD,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,1,2 - FEMALE,POINT (2395351.2380832317 7103049.808216437)
313,18702100,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,14:00 - 14:59,HICKORY CREEK RD,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,71,1 - MALE,POINT (2395351.2380832317 7103049.808216437)
314,18702100,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,14:00 - 14:59,HICKORY CREEK RD,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,70,2 - FEMALE,POINT (2395351.2380832317 7103049.808216437)
315,18702102,2,0,C - POSSIBLE INJURY,0,1,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,44579,1,2,TUESDAY,14:00 - 14:59,,No Data,CITY STREET,No Data,30,COLORADO BLVD,1 - DRY,1 - CLEAR,FAIL TO YIELD ROW PRIVATE PROPERTY/PRIVATE DRIVE/ALLEY/BUILD,10373755,67,2 - FEMALE,POINT (2397133.082572877 7116079.999006516)
316,18702102,2,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,44579,1,2,TUESDAY,14:00 - 14:59,,No Data,CITY STREET,No Data,30,COLORADO BLVD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,35,2 - FEMALE,POINT (2397133.082572877 7116079.999006516)
317,18702102,2,0,B - SUSPECTED MINOR INJURY,0,1,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,44579,1,2,TUESDAY,14:00 - 14:59,,No Data,CITY STREET,No Data,30,COLORADO BLVD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,58,2 - FEMALE,POINT (2397133.082572877 7116079.999006516)
318,18702103,0,0,99 - UNKNOWN,0,0,NONE,44579,1,0,TUESDAY,08:00 - 08:59,BRINKER RD,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",30,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2397972.3076848504 7119848.571073275)
319,18702103,0,0,N - NOT INJURED,1,0,NONE,44579,1,0,TUESDAY,08:00 - 08:59,BRINKER RD,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",30,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,65,1 - MALE,POINT (2397972.3076848504 7119848.571073275)
320,18702647,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44579,1,0,TUESDAY,19:00 - 19:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,2 - CLOUDY,CHANGED LANE WHEN UNSAFE,10434456,20,2 - FEMALE,POINT (2374526.5280234204 7130990.182997912)
321,18702647,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44579,1,0,TUESDAY,19:00 - 19:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,35,1 - MALE,POINT (2374526.5280234204 7130990.182997912)
322,18702647,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44579,1,0,TUESDAY,19:00 - 19:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,57,1 - MALE,POINT (2374526.5280234204 7130990.182997912)
323,18702647,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44579,1,0,TUESDAY,19:00 - 19:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,58,2 - FEMALE,POINT (2374526.5280234204 7130990.182997912)
324,18702647,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44579,1,0,TUESDAY,19:00 - 19:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,50,1 - MALE,POINT (2374526.5280234204 7130990.182997912)
325,18702656,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,17:00 - 17:59,ALTA VISTA DR,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,32,2 - FEMALE,POINT (2395232.3910076353 7106347.587133596)
326,18702656,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,17:00 - 17:59,ALTA VISTA DR,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,18,2 - FEMALE,POINT (2395232.3910076353 7106347.587133596)
327,18702656,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,17:00 - 17:59,ALTA VISTA DR,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,1 - MALE,POINT (2395232.3910076353 7106347.587133596)
328,18702656,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,17:00 - 17:59,ALTA VISTA DR,2,FARM TO MARKET,"2 LANE, 2 WAY",45,FM2181,1 - DRY,1 - CLEAR,NO CHARGES,No Data,0,1 - MALE,POINT (2395232.3910076353 7106347.587133596)
329,18704464,2,0,C - POSSIBLE INJURY,0,1,DISREGARD STOP SIGN OR LIGHT,44579,1,2,TUESDAY,00:00 - 00:59,NOTTINGHAM DR,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,37,2 - FEMALE,POINT (2394483.4711834434 7135355.466184771)
330,18704464,2,0,N - NOT INJURED,1,0,DISREGARD STOP SIGN OR LIGHT,44579,1,2,TUESDAY,00:00 - 00:59,NOTTINGHAM DR,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,7,1 - MALE,POINT (2394483.4711834434 7135355.466184771)
331,18704464,2,0,C - POSSIBLE INJURY,0,1,DISREGARD STOP SIGN OR LIGHT,44579,1,2,TUESDAY,00:00 - 00:59,NOTTINGHAM DR,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,52,2 - FEMALE,POINT (2394483.4711834434 7135355.466184771)
332,18707571,2,0,B - SUSPECTED MINOR INJURY,0,1,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44579,1,2,TUESDAY,16:00 - 16:59,US0380,6,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",60,US0377,1 - DRY,1 - CLEAR,FAILED TO YIELD RIGHT OF WAY AT STOP SIGN,10365752,47,2 - FEMALE,POINT (2419722.5860762275 7136316.548864076)
333,18707571,2,0,B - SUSPECTED MINOR INJURY,0,1,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44579,1,2,TUESDAY,16:00 - 16:59,US0380,6,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",60,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,33,2 - FEMALE,POINT (2419722.5860762275 7136316.548864076)
334,18708400,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,14:00 - 14:59,SL0288,No Data,CITY STREET,No Data,30,SPENCER RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,22,2 - FEMALE,POINT (2398973.807465614 7120718.733720524)
335,18708400,0,0,99 - UNKNOWN,0,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,14:00 - 14:59,SL0288,No Data,CITY STREET,No Data,30,SPENCER RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,1 - MALE,POINT (2398973.807465614 7120718.733720524)
336,18708400,0,0,99 - UNKNOWN,0,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,14:00 - 14:59,SL0288,No Data,CITY STREET,No Data,30,SPENCER RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,2 - FEMALE,POINT (2398973.807465614 7120718.733720524)
337,18737999,0,0,99 - UNKNOWN,0,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,14:00 - 14:59,EAGLE DR,4,CITY STREET,"4 OR MORE LANES, UNDIVIDED",35,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2386204.168660976 7124593.553736409)
338,18737999,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44579,1,0,TUESDAY,14:00 - 14:59,EAGLE DR,4,CITY STREET,"4 OR MORE LANES, UNDIVIDED",35,US0377,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,2 - FEMALE,POINT (2386204.168660976 7124593.553736409)
343,18707568,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,44580,1,0,WEDNESDAY,15:00 - 15:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,SL0288,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,23,2 - FEMALE,POINT (2398516.096918267 7120246.139315084)
344,18707568,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,44580,1,0,WEDNESDAY,15:00 - 15:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,SL0288,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,18,2 - FEMALE,POINT (2398516.096918267 7120246.139315084)
